country,gdp_per_capita_usd,life_satisfaction
Afghanistan,700,2.4
Albania,18596,4
Algeria,12297,3.9
Andorra,8328,3.8
Angola,10334,3.3
Antigua and Barbuda,51740,5.8
Argentina,11535,4.1
Armenia,9275,3.7
Australia,65000,7.2
Austria,72094,7.2
Azerbaijan,11558,4.2
Bahamas,90936,7.5
Bahrain,90460,8.2
Bangladesh,4808,3.1
Barbados,112756,8.5
Belarus,9999,3.6
Belgium,96116,8.3
Belize,22495,4.8
Benin,1899,3.4
Bhutan,13830,4.3
Bolivia,23071,4.8
Bosnia and Herzegovina,23933,4.8
Botswana,20023,4
Brazil,10500,6.1
Brunei,39012,5.4
Bulgaria,9853,3.8
Burkina Faso,845,2.6
Burundi,900,2.8
Cabo Verde,18517,4.3
Cambodia,5012,3.1
Cameroon,4344,3.8
Canada,60000,7.3
Central African Republic,2338,3
Chad,962,3.1
Chile,35517,5.4
China,13000,5.9
Colombia,27669,5
Comoros,1973,3.1
Congo,23426,4.9
Costa Rica,39077,5.2
Côte d’Ivoire,4646,3.2
Croatia,38063,6.1
Cuba,24334,4.5
Cyprus,72679,7.1
Czechia,105968,8.5
Democratic People's Republic of Korea,4331,3.1
Democratic Republic of the Congo,1990,2.7
Denmark,76000,7.8
Djibouti,6746,3.9
Dominica,14162,4
Dominican Republic,27922,4.9
Ecuador,9978,3.6
Egypt,3493,3.5
El Salvador,8995,3.5
Equatorial Guinea,9673,3.9
Eritrea,4468,3
Estonia,115054,8.5
Eswatini,3048,3.6
Ethiopia,1200,3.7
Fiji,19510,4.5
Finland,62000,7.8
France,49000,6.7
Gabon,12183,4.3
Gambia,861,2.8
Georgia,15062,4.7
Germany,56000,7.1
Ghana,10103,3.4
Greece,58015,6.2
Grenada,105672,8.5
Guatemala,12628,4.3
Guinea,2174,2.6
Guinea-Bissau,2893,3
Guyana,21779,4.6
Haiti,701,2.7
Honduras,3082,3.8
Hungary,100584,8.5
Iceland,43804,5.4
India,2800,4.1
Indonesia,24380,5.1
Iran,9919,4
Iraq,9736,4.3
Ireland,95000,7.1
Israel,85346,7.4
Italy,55917,6.5
Jamaica,12159,4.5
Japan,41000,6.4
Jordan,14548,4
Kazakhstan,16599,4.6
Kenya,3965,3.2
Kiribati,4460,3.2
Kuwait,52972,6.3
Kyrgyzstan,3548,3.1
Lao People's Democratic Republic,4794,3.5
Latvia,39138,5.4
Lebanon,3310,3.5
Lesotho,4121,3.8
Liberia,3466,2.5
Libya,11791,4.3
Liechtenstein,38244,5.3
Lithuania,109251,8.5
Luxembourg,125000,8.1
Madagascar,1687,3.2
Malawi,3145,2.6
Malaysia,10047,4
Maldives,14556,4.2
Mali,2718,3.1
Malta,117266,8.5
Marshall Islands,14213,4.1
Mauritania,9906,3.4
Mauritius,36930,5.5
Mexico,14528,4
Micronesia,4242,3.8
Monaco,130000,8.2
Mongolia,14882,4.6
Montenegro,16808,3.9
Morocco,27977,5.2
Mozambique,4248,3.4
Myanmar,9729,3.3
Namibia,15618,4
Nauru,5231,3
Nepal,1417,3.3
Netherlands,41188,6
New Zealand,54292,6.3
Nicaragua,11311,4.2
Niger,1969,3.1
Nigeria,2400,4.8
North Macedonia,10729,3.9
Norway,89000,7.7
Oman,114658,8.5
Pakistan,6361,3.7
Palau,30429,5.4
Panama,15926,4.7
Papua New Guinea,3732,3.8
Paraguay,9857,3.7
Peru,17683,4.6
Philippines,11754,3.7
Poland,102292,8.2
Portugal,66513,7
Qatar,95000,7.7
Republic of Korea,51537,6.3
Republic of Moldova,16290,4.8
Romania,11348,4.3
Russian Federation,11800,4
Rwanda,2443,2.7
Saint Kitts and Nevis,44360,6.1
Saint Lucia,31118,5.3
Saint Vincent and the Grenadines,27951,5.4
Samoa,9780,3.8
San Marino,41188,6.2
Sao Tome and Principe,10173,4
Saudi Arabia,47941,5.7
Senegal,9530,3.8
Serbia,18020,4.9
Seychelles,72525,6.7
Sierra Leone,3202,2.7
Singapore,85000,7
Slovakia,73525,7.6
Slovenia,34043,5
Solomon Islands,3480,3.4
Somalia,1162,3
South Africa,7000,5.3
South Sudan,2661,2.6
Spain,70471,6.8
Sri Lanka,15669,4.7
Sudan,3379,2.5
Suriname,14556,4
Sweden,28145,5.4
Switzerland,92000,7.9
Syrian Arab Republic,2291,2.7
Tajikistan,2780,3
Thailand,14624,3.8
Timor-Leste,3330,3.7
Togo,3763,3
Tonga,23207,4.7
Trinidad and Tobago,34734,5.1
Tunisia,12770,4.6
Türkiye,22216,5
Turkmenistan,24965,4.4
Tuvalu,4240,3
Uganda,2989,3.3
Ukraine,5270,3.6
United Arab Emirates,35062,5.9
United Kingdom,50000,6.8
United Republic of Tanzania,3498,3.4
United States,76000,6.9
Uruguay,91114,8.4
Uzbekistan,9257,4.3
Vanuatu,4755,3.8
Venezuela,22371,5
Viet Nam,22588,4.4
Yemen,3030,2.5
Zambia,3547,3.3
Zimbabwe,1059,3.2
Holy See,5679,3.3
State of Palestine,9036,3.3
